School,Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,Player-additional
Pitt,Amsal Delalić,52,FR,G,6-7,210,Tuzla Bosnia and Herzegovina,SKK Borac (Bosnia and Herzegovina),,3.8 Pts 2.0 Reb 0.7 Ast,amsal-delalic-1
Pitt,Papa Amadou Kante,4,FR,F,6-10,235,Dakar Senegal,South Kent Prep (CT),84 (2023),2.1 Pts 1.1 Reb 0.2 Ast,papa-amadou-kante-1
Pitt,Marlon Barnes,11,FR,F,6-6,190,Cleveland OH,Ypsi Prep (MI); Brush (OH),,0.4 Pts 0.3 Reb 0.3 Ast,marlon-barnes-jr-1
Pitt,Amdy Ndiaye,0,FR,F,6-10,205,Dakar Senegal,Putnam Science Academy (CT),,0.3 Pts 0.8 Reb 0.0 Ast,amdy-ndiaye-1
Pitt,Vason Stevenson,21,JR,F,6-3,190,McKees Rocks PA,Montour (PA),,2.0 Pts 0.0 Reb 0.0 Ast,vason-stevenson-1
Virginia,Isaac McKneely,11,JR,G,6-4,179,Poca WV,Poca (WV),63 (2022),14.4 Pts 2.7 Reb 2.9 Ast,isaac-mckneely-1
Virginia,Elijah Saunders,2,JR,F,6-8,240,Phoenix AZ,Sunnyslope (AZ),,10.4 Pts 5.0 Reb 0.8 Ast,elijah-saunders-1
Virginia,Andrew Rohde,4,JR,G,6-6,185,Brookfield WI,Brookfield Central (WI),,9.3 Pts 2.9 Reb 4.3 Ast,andrew-rohde-1
Virginia,Dai Dai Ames,7,SO,G,6-1,185,Chicago IL,Kenwood Academy (IL),66 (2023),8.7 Pts 1.4 Reb 1.9 Ast,dai-dai-ames-1
Virginia,Jacob Cofie,5,FR,F,6-10,232,Seattle WA,Eastside Catholic School (WA),91 (2024),7.2 Pts 4.6 Reb 1.0 Ast,jacob-cofie-1
Virginia,Blake Buchanan,0,SO,F,6-11,215,Coeur d'Alene ID,Lake City (ID),75 (2023),5.4 Pts 5.3 Reb 1.4 Ast,blake-buchanan-3
Virginia,Taine Murray,10,SR,G,6-5,207,Auckland New Zealand,Rosmini College (New Zealand),,4.1 Pts 1.5 Reb 1.6 Ast,taine-murray-1
Virginia,Ishan Sharma,9,FR,G,6-5,192,Milton Canada,Fort Erie International Academy (Canada),,3.4 Pts 1.3 Reb 0.8 Ast,ishan-sharma-1
Virginia,Anthony Robinson,21,FR,F,6-10,238,Peachtree City GA,Starr's Mill (GA); Christ School (NC),,3.6 Pts 2.4 Reb 0.1 Ast,anthony-robinson-6
Virginia,TJ Power,23,SO,F,6-9,216,Shrewsbury MA,Worcester Academy (MA),21 (2023),1.3 Pts 1.0 Reb 0.6 Ast,tj-power-2
Virginia,Desmond Roberts,13,SO,G,6-4,205,Charlottesville VA,St. Anne's-Belfield (VA),,0.8 Pts 0.6 Reb 0.0 Ast,desmond-roberts-1
Virginia,Bryce Walker,8,SR,G,6-2,200,Beltsville MD,Our Lady of Good Counsel (MD); New Hampton School (NH),,0.3 Pts 0.0 Reb 0.2 Ast,bryce-walker-1
Virginia,Eli Bennett,25,JR,G,6-2,160,Charlottesville VA,St. Annes's-Belfield School,,0.0 Pts 0.0 Reb 0.0 Ast,eli-bennett-1
Virginia,Markus Rouse,42,JR,G,6-2,,,,,0.0 Pts 0.0 Reb 0.0 Ast,markus-rouse-1
Notre Dame,Markus Burton,3,SO,G,5-11,166,Mishawka IN,Penn (IN),,21.3 Pts 3.6 Reb 3.0 Ast,markus-burton-1
Notre Dame,Tae Davis,7,JR,F,6-9,204,Indianapolis IN,Warren Central (IN),,15.1 Pts 5.3 Reb 1.8 Ast,tae-davis-1
Notre Dame,Braeden Shrewsberry,11,SO,G,6-3,189,State College PA,State College (PA),,14.0 Pts 3.0 Reb 1.6 Ast,braeden-shrewsberry-1
Notre Dame,Matt Allocco,41,SR,G,6-4,200,Hilliard OH,Hilliard Bradley HS,,9.5 Pts 4.4 Reb 2.7 Ast,matt-allocco-1
Notre Dame,Kebba Njie,14,JR,F,6-10,237,Centerville OH,Centerville (OH); La Lumiere (IN),,6.1 Pts 5.9 Reb 0.5 Ast,kebba-njie-1
Notre Dame,J.R. Konieczny,20,SR,G,6-6,195,South Bend IN,St. Joseph (IN),,4.3 Pts 2.8 Reb 0.8 Ast,jr-konieczny-1
Notre Dame,Nikita Konstantynovskyi,25,SR,C,6-10,235,Kyiv Ukraine,Secondary School No. 163 (Ukraine),,2.9 Pts 4.0 Reb 0.2 Ast,nikita-konstantynovskyi-1
Notre Dame,Julian Roper,1,SR,G,6-3,180,Detroit MI,St. Mary's (MI),,2.2 Pts 2.3 Reb 0.7 Ast,julian-roperii-1
Notre Dame,Sir Mohammed,4,FR,G,6-6,200,Charlotte NC,Myers Park (NC),59 (2024),3.1 Pts 1.9 Reb 1.0 Ast,sir-mohammed-1
Notre Dame,Logan Imes,2,SO,G,6-4,189,Zionsville IN,Zionsville (IN),,1.9 Pts 1.0 Reb 0.6 Ast,logan-imes-1
Notre Dame,Garrett Sundra,12,FR,F,6-11,210,Ashburn VA,Paul VI Catholic (VA),,2.3 Pts 1.5 Reb 0.3 Ast,garrett-sundra-1
Notre Dame,Cole Certa,5,FR,G,6-5,185,Le Roy IL,Bloomington Central Catholic (IL); IMG Academy (FL),,2.5 Pts 0.2 Reb 0.3 Ast,cole-certa-1
Notre Dame,Burke Chebuhar,21,SR,F,6-8,230,Marietta GA,The Walker School,,2.9 Pts 1.3 Reb 0.4 Ast,burke-chebuhar-1
Notre Dame,Thomas Crowe,22,SR,F,6-7,220,Macdonia OH,Archbishop Hoban (OH),,0.0 Pts 0.0 Reb 0.0 Ast,thomas-crowe-1
Notre Dame,Thomas Hattan,15,JR,G,6-2,180,San Clemente CA,San Juan Hills (CA),,0.0 Pts 0.0 Reb 0.0 Ast,thomas-hattan-1
Notre Dame,JT Kelly,10,JR,G,6-2,180,Ponte Vedra Beach FL,Ponte Vedra (FL),,0.0 Pts 0.0 Reb 0.0 Ast,jt-kelly-1
Virginia Tech,Toibu Lawal,1,JR,F,6-8,200,London United Kingdom,City of London Academy (England); Lee Academy (ME),,12.4 Pts 7.0 Reb 0.9 Ast,toibu-lawal-1
Virginia Tech,Mylyjael Poteat,34,SR,F,6-9,260,Reidsville NC,The Burlington School,,9.5 Pts 3.8 Reb 1.1 Ast,mylyjael-poteat-1
Virginia Tech,Jaydon Young,3,SO,G,6-4,205,Goldsboro NC,Greensboro Day (NC),,8.1 Pts 1.7 Reb 1.4 Ast,jaydon-young-1
Virginia Tech,Jaden Schutt,2,SO,G,6-5,185,Yorkville IL,Yorkville Christian (IL),59 (2022),7.7 Pts 2.8 Reb 1.5 Ast,jaden-schutt-1
Virginia Tech,Ben Burnham,13,SR,F,6-7,200,Fort Mill SC,Carmel Christian School,,7.5 Pts 3.9 Reb 0.9 Ast,ben-burnham-1
Virginia Tech,Brandon Rechsteiner,7,SO,G,6-1,185,Acworth GA,Etowah (GA),,7.0 Pts 1.0 Reb 2.8 Ast,brandon-rechsteiner-1
Virginia Tech,Tyler Johnson,10,FR,G,6-5,215,Orlando FL,Oak Ridge (FL),,6.7 Pts 4.8 Reb 1.0 Ast,tyler-johnson-6
Virginia Tech,Ben Hammond,11,FR,G,5-11,170,Fairfax VA,Paul VI (VA),,5.6 Pts 1.7 Reb 2.1 Ast,ben-hammond-1
Virginia Tech,Patrick Wessler,5,SO,C,7-0,245,Matthews NC,Butler (NC); Combine Academy (NC),,3.9 Pts 2.9 Reb 0.2 Ast,patrick-wessler-1
Virginia Tech,Rodney Brown,4,SO,G,6-6,180,Perris CA,Rancho Christian (CA),,4.1 Pts 2.1 Reb 1.8 Ast,rodney-brown-jr-1
Virginia Tech,Ryan Jones,21,FR,F,6-8,240,Gainesville FL,The Rock School (FL),82 (2024),1.2 Pts 0.4 Reb 0.0 Ast,ryan-jones-jr-1
Virginia Tech,Connor Serven,22,SR,F,6-9,215,Bushnell IL,St. Rita HS,,0.3 Pts 0.6 Reb 0.0 Ast,connor-serven-1
Virginia Tech,Conner Venable,9,SO,G,6-3,190,Washington DC,The Heights School (MD),,0.3 Pts 0.0 Reb 0.0 Ast,conner-venable-1
Virginia Tech,Peter Carr,8,FR,G,6-5,205,Philadelphia PA,West Chester East (PA),,0.0 Pts 0.0 Reb 0.0 Ast,peter-carr-1
Syracuse ,JJ Starling,2,JR,G,6-4,200,Baldwinsville NY,Baker (NY); La Lumiere (IN),21 (2022),17.8 Pts 3.8 Reb 2.8 Ast,jj-starling-1
Syracuse ,Eddie Lampkin,44,SR,C,6-11,300,Katy TX,Morton Ranch HS,,11.5 Pts 9.6 Reb 2.1 Ast,eddie-lampkinjr-1
Syracuse ,Jyare Davis,13,SR,F,6-7,215,Newark DE,Sanford HS,,9.4 Pts 4.9 Reb 1.4 Ast,jyare-davis-1
Syracuse ,Chris Bell,4,JR,F,6-7,180,Concord CA,De La Salle (CA); Wasatch Academy (UT),83 (2022),9.3 Pts 2.0 Reb 0.5 Ast,chris-bell-1
Syracuse ,Jaquan Carlos,5,SR,G,6-0,160,Brooklyn NY,Thomas Jefferson HS,,6.2 Pts 2.2 Reb 4.1 Ast,jaquan-carlos-1
Syracuse ,Lucas Taylor,3,SR,G,6-5,195,Wake Forrest NC,Heritage HS,,6.0 Pts 2.4 Reb 0.7 Ast,lucas-taylor-1
Syracuse ,Donnie Freeman,1,FR,F,6-9,205,Washington DC,St. John's College High School (DC); IMG Academy (FL),8 (2024),13.4 Pts 7.9 Reb 1.4 Ast,donnie-freeman-1
Syracuse ,Kyle Cuffe,0,SO,G,6-2,180,Harlem NY,Blair Academy,,5.1 Pts 1.1 Reb 0.5 Ast,kyle-cuffejr-1
Syracuse ,Elijah Moore,8,FR,G,6-4,176,Bronx NY,Cardinal Hayes (NY); Our Savior Lutheran (GA),77 (2024),5.2 Pts 1.5 Reb 1.0 Ast,elijah-moore-1
Syracuse ,Petar Majstorovic,6,FR,F,6-8,215,Haguenau France,AS Alsace (France); ASVEL Basket (France),,2.6 Pts 3.2 Reb 0.7 Ast,petar-majstorovic-1
Syracuse ,Naheem McLeod,10,SR,C,7-4,248,Philadelphia PA,Plymouth Whitemarsh (PA),,2.4 Pts 1.8 Reb 0.2 Ast,naheem-mcleod-1
Syracuse ,Anthony Clayton,12,SR,G,6-0,180,Albany NY,Shaker (NY); Avon Old Farms (CT),,1.0 Pts 0.0 Reb 0.0 Ast,anthony-clayton-1
Syracuse ,Nate Fleisher,51,SR,G,6-1,175,,Highland Park (IL),,0.0 Pts 0.0 Reb 0.0 Ast,nate-fleisher-1
Syracuse ,Chris Gatty,34,SO,G,6-2,175,Katonah NY,The Master's School (NY),,0.0 Pts 0.0 Reb 0.0 Ast,chris-gatty-1
Syracuse ,Noah Lobdell,24,FR,G,6-0,140,Syracuse NY,Faith Heritage (NY),,0.0 Pts 0.0 Reb 0.0 Ast,noah-lobdell-1
Syracuse ,Chance Westry,11,JR,G,6-6,190,Harrisburg PA,Trinity (PA); Sierra Canyon (CA); AZ Compass Prep (AZ),33 (2022),0.0 Pts 0.0 Reb 0.3 Ast,chance-westry-1
California,Andrej Stojakovic,2,SO,G,6-7,190,Carmichael CA,Carmichael Jesuit (CA),23 (2023),17.9 Pts 4.7 Reb 1.8 Ast,andrej-stojakovic-2
California,Jeremiah Wilkinson,0,FR,G,6-1,185,Powder Springs GA,McEachern (GA); The Skill Factory (GA),,15.1 Pts 1.9 Reb 1.5 Ast,jeremiah-wilkinson-1
California,Jovan Blacksher,10,SR,G,5-11,155,Phoenix AZ,Shadow Mountain HS,,10.5 Pts 2.4 Reb 2.5 Ast,jovan-blacksherjr-1
California,Rytis Petraitis,31,JR,G,6-7,210,Arlington TX,The Oakridge School (TX); USAFA Prep School,,8.2 Pts 5.7 Reb 1.7 Ast,rytis-petraitis-1
California,Mady Sissoko,12,SR,C,6-9,235,Bafoulabe Mali,Wasatch Academy,34 (2020),8.3 Pts 8.2 Reb 0.4 Ast,mady-sissoko-1
California,DJ Campbell,3,JR,G,6-2,205,Hampton VA,Kecoughtan (VA),,7.8 Pts 2.5 Reb 1.6 Ast,dj-campbell-1
California,Joshua Ola-Joseph,1,JR,F,6-7,215,Brooklyn Park MN,Osseo (MN); AZ Compass Prep (AZ),,7.2 Pts 3.8 Reb 0.3 Ast,joshua-ola-joseph-1
California,Lee Dort,34,JR,F,6-10,255,McKinney TX,Greenhill School (TX),95 (2022),3.6 Pts 4.6 Reb 0.5 Ast,lee-dort-1
California,Christian Tucker,22,JR,G,6-3,170,Chandler AZ,Gilbert Perry HS,,1.7 Pts 0.9 Reb 1.0 Ast,christian-tucker-1
California,B.J. Omot,20,SO,F,6-8,175,Mankato MN,Mankato East (MN),,10.8 Pts 3.0 Reb 0.0 Ast,bj-omot-1
California,Spencer Mahoney,7,FR,F,6-9,230,New York NY,Iona Prep (NY); Xaverian (NY); St. Benedict's (NJ); Red Rock Academy (NV),,1.5 Pts 1.0 Reb 0.2 Ast,spencer-mahoney-1
California,Devin Curtis,13,SO,F,6-11,220,Northridge CA,Heritage Christian (CA); Ribet Academy (CA); Southern California Academy (CA),,1.0 Pts 0.5 Reb 0.2 Ast,devin-curtis-1
California,Matt Desler,23,SR,G,6-1,180,Oakland CA,Bishop O'Dowd (CA),,0.0 Pts 0.0 Reb 0.0 Ast,matt-desler-1
California,Jayden Karapetian,32,SO,G,6-2,170,Woodland Hills CA,Viewpoint School (CA),,0.0 Pts 0.5 Reb 0.0 Ast,jayden-karapetian-1
California,Jack McCloskey,14,JR,G,6-4,180,Santa Ana CA,Santa Margarita (CA); Mater Dei (CA),,0.0 Pts 0.0 Reb 0.3 Ast,jack-mccloskey-2
California,Vladimir Pavlovic,33,SO,G,6-3,190,Herceg Novi Montenegro,Hoosac School (NY),,0.0 Pts 0.3 Reb 0.0 Ast,vladimir-pavlovic-1
NC State,Marcus Hill,10,SR,G,6-4,185,Rockford IL,Rockford Christian (IL),,11.5 Pts 3.9 Reb 1.6 Ast,marcus-hill-4
NC State,Dontrez Styles,3,SR,G,6-6,210,Kinston NC,Kinston HS,60 (2021),11.4 Pts 5.0 Reb 0.5 Ast,dontrez-styles-1
NC State,Jayden Taylor,8,SR,G,6-4,190,Indianapolis IN,Perry Meridian HS,,10.6 Pts 2.8 Reb 1.6 Ast,jayden-taylor-1
NC State,Ben Middlebrooks,34,SR,F,6-10,225,Fort Lauderdale FL,Westminster Academy,,7.5 Pts 4.2 Reb 1.0 Ast,ben-middlebrooks-1
NC State,Michael O'Connell,12,SR,G,6-2,180,Mineola NY,Blair Academy,,6.4 Pts 2.9 Reb 3.6 Ast,michael-oconnell-3
NC State,Brandon Huntley-Hatfield,1,SR,F,6-10,235,Clarksville TN,Scotland Campus Prep HS,23 (2021),7.2 Pts 4.8 Reb 1.1 Ast,brandon-huntley-hatfield-1
NC State,Breon Pass,4,SR,G,6-0,175,Reidsville NC,Reidsville (NC),,4.5 Pts 1.3 Reb 1.1 Ast,breon-pass-1
NC State,Trey Parker,5,FR,G,6-1,165,Fayetteville NC,Cape Fear (NC); New Life Christian Academy (NC); Vertical Academy (NC); Overtime Elite (GA),,4.6 Pts 1.4 Reb 1.1 Ast,trey-parker-2
NC State,Paul McNeil,2,FR,G,6-5,180,Rockingham NC,Richmond Senior (NC),53 (2024),4.2 Pts 1.3 Reb 0.8 Ast,paul-mcneil-jr-1
NC State,Dennis Parker,11,SO,G,6-6,205,Richmond VA,John Marshall (VA),,2.9 Pts 2.3 Reb 0.7 Ast,dennis-parker-jr-1
NC State,Ismael Diouf,33,JR,F,6-9,215,Saint-Jean-Sur-Richelieu Canada,CEGEP Saint-Jean-Sur-Richelieu,,2.2 Pts 1.4 Reb 0.2 Ast,ismael-diouf-1
NC State,Bryce Heard,7,FR,G,6-5,170,Chicago IL,Homewood Flossmoor (IL),,1.2 Pts 0.8 Reb 0.3 Ast,bryce-heard-1
NC State,KJ Keatts,13,JR,G,5-10,155,Cary NC,Grace Christian (NC),,0.5 Pts 0.0 Reb 0.0 Ast,kj-keatts-1
NC State,Jordan Snell,22,JR,G,6-2,165,Cary NC,Panther Creek (NC),,0.5 Pts 0.3 Reb 0.0 Ast,jordan-snell-1
Boston College,Donald Hand,13,SO,G,6-5,195,Virginia Beach VA,Landstown (VA),,15.7 Pts 6.1 Reb 1.3 Ast,donald-hand-jr-1
Boston College,Chad Venning,32,SR,F,6-10,280,Brooklyn NY,Woodstock Academy HS,,12.4 Pts 4.1 Reb 0.7 Ast,chad-venning-1
Boston College,Elijah Strong,31,SO,F,6-8,225,Charlotte NC,Myers Park (NC),,9.6 Pts 4.1 Reb 0.9 Ast,elijah-strong-1
Boston College,Dion Brown,1,JR,G,6-3,180,Great Barrington MA,Vermont Academy (VT),,7.5 Pts 3.9 Reb 1.5 Ast,dion-brown-3
Boston College,Fred Payne,5,SO,G,6-2,180,Grambling LA,Lincoln Prep (LA); Sunrise Christian Academy (KS); Legacy SSS (TX),,6.9 Pts 2.5 Reb 1.2 Ast,fred-payne-1
Boston College,Joshua Beadle,7,JR,G,6-3,170,Columbia SC,Cardinal Newman HS,,5.9 Pts 1.8 Reb 2.0 Ast,josh-beadle-1
Boston College,Roger McFarlane,3,SR,G,6-5,205,Fort Lauderdale FL,NSU University (FL),,5.2 Pts 4.9 Reb 0.8 Ast,roger-mcfarlane-1
Boston College,Chas Kelley,00,JR,G,6-5,180,Houston TX,Cypress Creek (TX); The Phelps School (PA),,4.4 Pts 1.2 Reb 2.0 Ast,chas-kelley-iii-1
Boston College,Jayden Hastings,22,FR,F,6-9,225,Orlando FL,Orlando Christian Prep (FL); IMG Academy (FL),,4.0 Pts 3.1 Reb 0.3 Ast,jayden-hastings-1
Boston College,Luka Toews,10,FR,G,6-1,190,Tokyo Japan,Northfield Mount Hermon (MA); The Newman School (MA),,1.6 Pts 0.4 Reb 1.3 Ast,luka-toews-1
Boston College,Kany Tchanda,8,FR,F,6-9,200,Kinshasa Democratic Republic of the Congo,Sunrise Christian Academy (KS),,0.4 Pts 0.6 Reb 0.1 Ast,kany-tchanda-1
Boston College,Jack DiDonna,4,SO,G,6-0,185,Boca Raton FL,Saint Andrew's (Boca Raton FL),,0.0 Pts 0.0 Reb 0.0 Ast,jack-didonna-1
Boston College,Will Eggemeier,21,FR,G,6-3,190,Menlo Park CA,Menlo School (CA),,0.0 Pts 0.0 Reb 0.0 Ast,will-eggemeier-1
Boston College,Ethan Soares Rodriguez,20,SO,G,6-4,225,Houston TX,Memorial (Houston TX),,0.0 Pts 0.0 Reb 0.0 Ast,ethan-soares-rodriguez-1
Miami (FL),Matthew Cleveland,0,SR,G,6-7,200,Atlanta GA,Pace Academy,22 (2021),17.6 Pts 4.4 Reb 1.7 Ast,matthew-cleveland-1
Miami (FL),Lynn Kidd,1,SR,C,6-10,235,Gainesville FL,IMG Academy,,11.5 Pts 7.1 Reb 1.4 Ast,lynn-kidd-1
Miami (FL),Brandon Johnson,2,SR,F,6-8,210,Raleigh NC,Rolesville (NC),,8.4 Pts 6.7 Reb 2.0 Ast,brandon-johnson-57
Miami (FL),A.J. Staton-McCray,11,SR,G,6-5,190,Charlotte NC,West Oaks Academy,,7.3 Pts 2.4 Reb 1.0 Ast,aj-staton-mccray-1
Miami (FL),Jalil Bethea,3,FR,G,6-5,190,Philadelphia PA,Archbishop Wood (PA),7 (2024),7.1 Pts 2.1 Reb 1.2 Ast,jalil-bethea-1
Miami (FL),Austin Swartz,23,FR,G,6-4,200,Concord NC,Cannon School (NC),47 (2024),5.9 Pts 1.0 Reb 0.9 Ast,austin-swartz-1
Miami (FL),Paul Djobet,10,SO,G,6-7,195,Lille France,Lycée du Noordover (France); Solid Rock Academy (GA); West Oaks Academy (FL),,5.5 Pts 2.6 Reb 0.9 Ast,paul-djobet-1
Miami (FL),Divine Ugochukwu,99,FR,G,6-3,190,Sugar Land TX,Clements (TX),,5.3 Pts 1.9 Reb 2.3 Ast,divine-ugochukwu-1
Miami (FL),Jalen Blackmon,5,SR,G,6-3,180,Marion IN,Marion HS,,6.9 Pts 1.2 Reb 1.4 Ast,jalen-blackmon-1
Miami (FL),Nijel Pack,24,SR,G,6-0,180,Indianapolis IN,Lawrence Central HS,,13.9 Pts 3.0 Reb 4.3 Ast,nijel-pack-1
Miami (FL),Kiree Huie,15,SR,F,6-9,210,Grayson GA,Liberty (NV),,1.6 Pts 1.4 Reb 0.1 Ast,kiree-huie-1
Miami (FL),Isaiah Johnson-Arigu,4,FR,F,6-7,220,Minneapolis MN,Totino-Grace (MN),,1.0 Pts 0.8 Reb 0.3 Ast,isaiah-johnson-arigu-1
Miami (FL),Yussif Basa-Ama,35,SR,F,6-8,200,Bolgatanga Ghana,Saint Andrews School HS,,0.0 Pts 0.6 Reb 0.0 Ast,yussif-basa-ama-1
